university_name,rank,file
Georgetown University,21,0103.txt
George Washington University,51,0104.txt
Hollins University,105,0149.txt
Lawrence University,67,0204.txt
New York University,33,0347.txt
Rensselaer Polytechnic Institute,41,0434.txt
St. Louis University,86,0537.txt
Union College,41,0628.txt
Union University,15,0630.txt
Wesleyan College,158,0826.txt
Williams College,1,0884.txt
College of Mount St. Vincent, 117,0943.txt
College of William and Mary,31,0955.txt
Denison University,51,1001.txt
